"","position","digit","color"
"84848",84848,"5","#48284A"
"84849",84849,"4","#C09BD8"
"84850",84850,"0","#0B0033"
"84851",84851,"7","#3B1F2B"
"84852",84852,"2","#C3B299"
"84853",84853,"4","#C09BD8"
"84854",84854,"0","#0B0033"
"84855",84855,"4","#C09BD8"
"84856",84856,"8","#DB162F"
"84857",84857,"5","#48284A"
"84858",84858,"7","#3B1F2B"
"84859",84859,"1","#376996"
"84860",84860,"2","#C3B299"
"84861",84861,"3","#815355"
"84862",84862,"2","#C3B299"
"84863",84863,"5","#48284A"
"84864",84864,"6","#916C80"
"84865",84865,"6","#916C80"
"84866",84866,"2","#C3B299"
"84867",84867,"8","#DB162F"
"84868",84868,"8","#DB162F"
"84869",84869,"8","#DB162F"
"84870",84870,"8","#DB162F"
"84871",84871,"9","#5F758E"
"84872",84872,"3","#815355"
"84873",84873,"1","#376996"
"84874",84874,"7","#3B1F2B"
"84875",84875,"2","#C3B299"
"84876",84876,"2","#C3B299"
"84877",84877,"1","#376996"
"84878",84878,"1","#376996"
"84879",84879,"6","#916C80"
"84880",84880,"4","#C09BD8"
"84881",84881,"3","#815355"
"84882",84882,"2","#C3B299"
"84883",84883,"9","#5F758E"
"84884",84884,"4","#C09BD8"
"84885",84885,"7","#3B1F2B"
"84886",84886,"8","#DB162F"
"84887",84887,"1","#376996"
"84888",84888,"6","#916C80"
"84889",84889,"1","#376996"
"84890",84890,"9","#5F758E"
"84891",84891,"0","#0B0033"
"84892",84892,"5","#48284A"
"84893",84893,"5","#48284A"
"84894",84894,"4","#C09BD8"
"84895",84895,"8","#DB162F"
"84896",84896,"6","#916C80"
"84897",84897,"8","#DB162F"
"84898",84898,"0","#0B0033"
"84899",84899,"5","#48284A"
"84900",84900,"4","#C09BD8"
"84901",84901,"9","#5F758E"
"84902",84902,"4","#C09BD8"
"84903",84903,"3","#815355"
"84904",84904,"4","#C09BD8"
"84905",84905,"4","#C09BD8"
"84906",84906,"1","#376996"
"84907",84907,"0","#0B0033"
"84908",84908,"3","#815355"
"84909",84909,"4","#C09BD8"
"84910",84910,"0","#0B0033"
"84911",84911,"9","#5F758E"
"84912",84912,"0","#0B0033"
"84913",84913,"6","#916C80"
"84914",84914,"8","#DB162F"
"84915",84915,"0","#0B0033"
"84916",84916,"7","#3B1F2B"
"84917",84917,"1","#376996"
"84918",84918,"6","#916C80"
"84919",84919,"0","#0B0033"
"84920",84920,"8","#DB162F"
"84921",84921,"8","#DB162F"
"84922",84922,"0","#0B0033"
"84923",84923,"2","#C3B299"
"84924",84924,"8","#DB162F"
"84925",84925,"2","#C3B299"
"84926",84926,"2","#C3B299"
"84927",84927,"7","#3B1F2B"
"84928",84928,"9","#5F758E"
"84929",84929,"5","#48284A"
"84930",84930,"9","#5F758E"
"84931",84931,"6","#916C80"
"84932",84932,"8","#DB162F"
"84933",84933,"6","#916C80"
"84934",84934,"9","#5F758E"
"84935",84935,"5","#48284A"
"84936",84936,"0","#0B0033"
"84937",84937,"1","#376996"
"84938",84938,"3","#815355"
"84939",84939,"3","#815355"
"84940",84940,"6","#916C80"
"84941",84941,"4","#C09BD8"
"84942",84942,"3","#815355"
"84943",84943,"8","#DB162F"
"84944",84944,"1","#376996"
"84945",84945,"4","#C09BD8"
"84946",84946,"2","#C3B299"
"84947",84947,"6","#916C80"
"84948",84948,"8","#DB162F"
"84949",84949,"2","#C3B299"
"84950",84950,"5","#48284A"
"84951",84951,"2","#C3B299"
"84952",84952,"1","#376996"
"84953",84953,"7","#3B1F2B"
"84954",84954,"0","#0B0033"
"84955",84955,"4","#C09BD8"
"84956",84956,"7","#3B1F2B"
"84957",84957,"2","#C3B299"
"84958",84958,"8","#DB162F"
"84959",84959,"7","#3B1F2B"
"84960",84960,"0","#0B0033"
"84961",84961,"8","#DB162F"
"84962",84962,"6","#916C80"
"84963",84963,"3","#815355"
"84964",84964,"0","#0B0033"
"84965",84965,"1","#376996"
"84966",84966,"0","#0B0033"
"84967",84967,"1","#376996"
"84968",84968,"3","#815355"
"84969",84969,"7","#3B1F2B"
"84970",84970,"3","#815355"
"84971",84971,"0","#0B0033"
"84972",84972,"1","#376996"
"84973",84973,"1","#376996"
"84974",84974,"5","#48284A"
"84975",84975,"5","#48284A"
"84976",84976,"2","#C3B299"
"84977",84977,"3","#815355"
"84978",84978,"6","#916C80"
"84979",84979,"8","#DB162F"
"84980",84980,"6","#916C80"
"84981",84981,"1","#376996"
"84982",84982,"4","#C09BD8"
"84983",84983,"1","#376996"
"84984",84984,"6","#916C80"
"84985",84985,"9","#5F758E"
"84986",84986,"0","#0B0033"
"84987",84987,"8","#DB162F"
"84988",84988,"3","#815355"
"84989",84989,"7","#3B1F2B"
"84990",84990,"5","#48284A"
"84991",84991,"6","#916C80"
"84992",84992,"7","#3B1F2B"
"84993",84993,"5","#48284A"
"84994",84994,"7","#3B1F2B"
"84995",84995,"4","#C09BD8"
"84996",84996,"7","#3B1F2B"
"84997",84997,"6","#916C80"
"84998",84998,"3","#815355"
"84999",84999,"7","#3B1F2B"
"85000",85000,"2","#C3B299"
"85001",85001,"3","#815355"
"85002",85002,"9","#5F758E"
"85003",85003,"7","#3B1F2B"
"85004",85004,"6","#916C80"
"85005",85005,"3","#815355"
"85006",85006,"1","#376996"
"85007",85007,"8","#DB162F"
"85008",85008,"5","#48284A"
"85009",85009,"7","#3B1F2B"
"85010",85010,"5","#48284A"
"85011",85011,"7","#3B1F2B"
"85012",85012,"0","#0B0033"
"85013",85013,"3","#815355"
"85014",85014,"8","#DB162F"
"85015",85015,"1","#376996"
"85016",85016,"0","#0B0033"
"85017",85017,"9","#5F758E"
"85018",85018,"4","#C09BD8"
"85019",85019,"4","#C09BD8"
"85020",85020,"3","#815355"
"85021",85021,"3","#815355"
"85022",85022,"9","#5F758E"
"85023",85023,"0","#0B0033"
"85024",85024,"5","#48284A"
"85025",85025,"6","#916C80"
"85026",85026,"4","#C09BD8"
"85027",85027,"5","#48284A"
"85028",85028,"6","#916C80"
"85029",85029,"4","#C09BD8"
"85030",85030,"4","#C09BD8"
"85031",85031,"6","#916C80"
"85032",85032,"8","#DB162F"
"85033",85033,"5","#48284A"
"85034",85034,"2","#C3B299"
"85035",85035,"4","#C09BD8"
"85036",85036,"1","#376996"
"85037",85037,"8","#DB162F"
"85038",85038,"3","#815355"
"85039",85039,"0","#0B0033"
"85040",85040,"2","#C3B299"
"85041",85041,"8","#DB162F"
"85042",85042,"1","#376996"
"85043",85043,"4","#C09BD8"
"85044",85044,"8","#DB162F"
"85045",85045,"1","#376996"
"85046",85046,"0","#0B0033"
"85047",85047,"7","#3B1F2B"
"85048",85048,"9","#5F758E"
"85049",85049,"9","#5F758E"
"85050",85050,"8","#DB162F"
"85051",85051,"3","#815355"
"85052",85052,"7","#3B1F2B"
"85053",85053,"6","#916C80"
"85054",85054,"9","#5F758E"
"85055",85055,"1","#376996"
"85056",85056,"8","#DB162F"
"85057",85057,"5","#48284A"
"85058",85058,"1","#376996"
"85059",85059,"2","#C3B299"
"85060",85060,"1","#376996"
"85061",85061,"2","#C3B299"
"85062",85062,"7","#3B1F2B"
"85063",85063,"2","#C3B299"
"85064",85064,"0","#0B0033"
"85065",85065,"1","#376996"
"85066",85066,"9","#5F758E"
"85067",85067,"3","#815355"
"85068",85068,"5","#48284A"
"85069",85069,"0","#0B0033"
"85070",85070,"4","#C09BD8"
"85071",85071,"4","#C09BD8"
"85072",85072,"0","#0B0033"
"85073",85073,"4","#C09BD8"
"85074",85074,"1","#376996"
"85075",85075,"8","#DB162F"
"85076",85076,"0","#0B0033"
"85077",85077,"4","#C09BD8"
"85078",85078,"6","#916C80"
"85079",85079,"0","#0B0033"
"85080",85080,"4","#C09BD8"
"85081",85081,"7","#3B1F2B"
"85082",85082,"2","#C3B299"
"85083",85083,"1","#376996"
"85084",85084,"6","#916C80"
"85085",85085,"2","#C3B299"
"85086",85086,"6","#916C80"
"85087",85087,"9","#5F758E"
"85088",85088,"3","#815355"
"85089",85089,"9","#5F758E"
"85090",85090,"4","#C09BD8"
"85091",85091,"4","#C09BD8"
"85092",85092,"5","#48284A"
"85093",85093,"7","#3B1F2B"
"85094",85094,"8","#DB162F"
"85095",85095,"8","#DB162F"
"85096",85096,"3","#815355"
"85097",85097,"7","#3B1F2B"
"85098",85098,"7","#3B1F2B"
"85099",85099,"0","#0B0033"
"85100",85100,"9","#5F758E"
"85101",85101,"0","#0B0033"
"85102",85102,"1","#376996"
"85103",85103,"0","#0B0033"
"85104",85104,"5","#48284A"
"85105",85105,"9","#5F758E"
"85106",85106,"7","#3B1F2B"
"85107",85107,"4","#C09BD8"
"85108",85108,"6","#916C80"
"85109",85109,"9","#5F758E"
"85110",85110,"3","#815355"
"85111",85111,"2","#C3B299"
"85112",85112,"1","#376996"
"85113",85113,"9","#5F758E"
"85114",85114,"7","#3B1F2B"
"85115",85115,"2","#C3B299"
"85116",85116,"0","#0B0033"
"85117",85117,"5","#48284A"
"85118",85118,"5","#48284A"
"85119",85119,"8","#DB162F"
"85120",85120,"1","#376996"
"85121",85121,"1","#376996"
"85122",85122,"4","#C09BD8"
"85123",85123,"0","#0B0033"
"85124",85124,"7","#3B1F2B"
"85125",85125,"8","#DB162F"
"85126",85126,"7","#3B1F2B"
"85127",85127,"7","#3B1F2B"
"85128",85128,"5","#48284A"
"85129",85129,"9","#5F758E"
"85130",85130,"8","#DB162F"
"85131",85131,"9","#5F758E"
"85132",85132,"7","#3B1F2B"
"85133",85133,"7","#3B1F2B"
"85134",85134,"2","#C3B299"
"85135",85135,"0","#0B0033"
"85136",85136,"7","#3B1F2B"
"85137",85137,"2","#C3B299"
"85138",85138,"0","#0B0033"
"85139",85139,"0","#0B0033"
"85140",85140,"9","#5F758E"
"85141",85141,"6","#916C80"
"85142",85142,"8","#DB162F"
"85143",85143,"9","#5F758E"
"85144",85144,"3","#815355"
"85145",85145,"8","#DB162F"
"85146",85146,"2","#C3B299"
"85147",85147,"2","#C3B299"
"85148",85148,"4","#C09BD8"
"85149",85149,"9","#5F758E"
"85150",85150,"3","#815355"
"85151",85151,"0","#0B0033"
"85152",85152,"3","#815355"
"85153",85153,"2","#C3B299"
"85154",85154,"3","#815355"
"85155",85155,"6","#916C80"
"85156",85156,"8","#DB162F"
"85157",85157,"3","#815355"
"85158",85158,"0","#0B0033"
"85159",85159,"5","#48284A"
"85160",85160,"1","#376996"
"85161",85161,"5","#48284A"
"85162",85162,"8","#DB162F"
"85163",85163,"6","#916C80"
"85164",85164,"2","#C3B299"
"85165",85165,"6","#916C80"
"85166",85166,"5","#48284A"
"85167",85167,"7","#3B1F2B"
"85168",85168,"2","#C3B299"
"85169",85169,"8","#DB162F"
"85170",85170,"1","#376996"
"85171",85171,"1","#376996"
"85172",85172,"1","#376996"
"85173",85173,"4","#C09BD8"
"85174",85174,"6","#916C80"
"85175",85175,"3","#815355"
"85176",85176,"7","#3B1F2B"
"85177",85177,"9","#5F758E"
"85178",85178,"9","#5F758E"
"85179",85179,"6","#916C80"
"85180",85180,"9","#5F758E"
"85181",85181,"8","#DB162F"
"85182",85182,"3","#815355"
"85183",85183,"1","#376996"
"85184",85184,"3","#815355"
"85185",85185,"7","#3B1F2B"
"85186",85186,"5","#48284A"
"85187",85187,"1","#376996"
"85188",85188,"7","#3B1F2B"
"85189",85189,"9","#5F758E"
"85190",85190,"3","#815355"
"85191",85191,"7","#3B1F2B"
"85192",85192,"6","#916C80"
"85193",85193,"2","#C3B299"
"85194",85194,"3","#815355"
"85195",85195,"2","#C3B299"
"85196",85196,"1","#376996"
"85197",85197,"5","#48284A"
"85198",85198,"1","#376996"
"85199",85199,"1","#376996"
"85200",85200,"1","#376996"
"85201",85201,"2","#C3B299"
"85202",85202,"5","#48284A"
"85203",85203,"2","#C3B299"
"85204",85204,"3","#815355"
"85205",85205,"4","#C09BD8"
"85206",85206,"9","#5F758E"
"85207",85207,"7","#3B1F2B"
"85208",85208,"3","#815355"
"85209",85209,"4","#C09BD8"
"85210",85210,"3","#815355"
"85211",85211,"0","#0B0033"
"85212",85212,"5","#48284A"
"85213",85213,"2","#C3B299"
"85214",85214,"4","#C09BD8"
"85215",85215,"0","#0B0033"
"85216",85216,"6","#916C80"
"85217",85217,"2","#C3B299"
"85218",85218,"2","#C3B299"
"85219",85219,"1","#376996"
"85220",85220,"0","#0B0033"
"85221",85221,"5","#48284A"
"85222",85222,"2","#C3B299"
"85223",85223,"4","#C09BD8"
"85224",85224,"4","#C09BD8"
"85225",85225,"2","#C3B299"
"85226",85226,"3","#815355"
"85227",85227,"4","#C09BD8"
"85228",85228,"3","#815355"
"85229",85229,"5","#48284A"
"85230",85230,"3","#815355"
"85231",85231,"7","#3B1F2B"
"85232",85232,"3","#815355"
"85233",85233,"2","#C3B299"
"85234",85234,"9","#5F758E"
"85235",85235,"0","#0B0033"
"85236",85236,"5","#48284A"
"85237",85237,"6","#916C80"
"85238",85238,"5","#48284A"
"85239",85239,"5","#48284A"
"85240",85240,"1","#376996"
"85241",85241,"6","#916C80"
"85242",85242,"3","#815355"
"85243",85243,"4","#C09BD8"
"85244",85244,"0","#0B0033"
"85245",85245,"6","#916C80"
"85246",85246,"6","#916C80"
"85247",85247,"6","#916C80"
"85248",85248,"9","#5F758E"
"85249",85249,"5","#48284A"
"85250",85250,"0","#0B0033"
"85251",85251,"6","#916C80"
"85252",85252,"1","#376996"
