"","position","digit","color"
"1",1,"3","#815355"
"2",2,".","#000000"
"3",3,"1","#376996"
"4",4,"4","#C09BD8"
"5",5,"1","#376996"
"6",6,"5","#48284A"
"7",7,"9","#5F758E"
"8",8,"2","#C3B299"
"9",9,"6","#916C80"
"10",10,"5","#48284A"
"11",11,"3","#815355"
"12",12,"5","#48284A"
"13",13,"8","#DB162F"
"14",14,"9","#5F758E"
"15",15,"7","#3B1F2B"
"16",16,"9","#5F758E"
"17",17,"3","#815355"
"18",18,"2","#C3B299"
"19",19,"3","#815355"
"20",20,"8","#DB162F"
"21",21,"4","#C09BD8"
"22",22,"6","#916C80"
"23",23,"2","#C3B299"
"24",24,"6","#916C80"
"25",25,"4","#C09BD8"
"26",26,"3","#815355"
"27",27,"3","#815355"
"28",28,"8","#DB162F"
"29",29,"3","#815355"
"30",30,"2","#C3B299"
"31",31,"7","#3B1F2B"
"32",32,"9","#5F758E"
"33",33,"5","#48284A"
"34",34,"0","#0B0033"
"35",35,"2","#C3B299"
"36",36,"8","#DB162F"
"37",37,"8","#DB162F"
"38",38,"4","#C09BD8"
"39",39,"1","#376996"
"40",40,"9","#5F758E"
"41",41,"7","#3B1F2B"
"42",42,"1","#376996"
"43",43,"6","#916C80"
"44",44,"9","#5F758E"
"45",45,"3","#815355"
"46",46,"9","#5F758E"
"47",47,"9","#5F758E"
"48",48,"3","#815355"
"49",49,"7","#3B1F2B"
"50",50,"5","#48284A"
"51",51,"1","#376996"
"52",52,"0","#0B0033"
"53",53,"5","#48284A"
"54",54,"8","#DB162F"
"55",55,"2","#C3B299"
"56",56,"0","#0B0033"
"57",57,"9","#5F758E"
"58",58,"7","#3B1F2B"
"59",59,"4","#C09BD8"
"60",60,"9","#5F758E"
"61",61,"4","#C09BD8"
"62",62,"4","#C09BD8"
"63",63,"5","#48284A"
"64",64,"9","#5F758E"
"65",65,"2","#C3B299"
"66",66,"3","#815355"
"67",67,"0","#0B0033"
"68",68,"7","#3B1F2B"
"69",69,"8","#DB162F"
"70",70,"1","#376996"
"71",71,"6","#916C80"
"72",72,"4","#C09BD8"
"73",73,"0","#0B0033"
"74",74,"6","#916C80"
"75",75,"2","#C3B299"
"76",76,"8","#DB162F"
"77",77,"6","#916C80"
"78",78,"2","#C3B299"
"79",79,"0","#0B0033"
"80",80,"8","#DB162F"
"81",81,"9","#5F758E"
"82",82,"9","#5F758E"
"83",83,"8","#DB162F"
"84",84,"6","#916C80"
"85",85,"2","#C3B299"
"86",86,"8","#DB162F"
"87",87,"0","#0B0033"
"88",88,"3","#815355"
"89",89,"4","#C09BD8"
"90",90,"8","#DB162F"
"91",91,"2","#C3B299"
"92",92,"5","#48284A"
"93",93,"3","#815355"
"94",94,"4","#C09BD8"
"95",95,"2","#C3B299"
"96",96,"1","#376996"
"97",97,"1","#376996"
"98",98,"7","#3B1F2B"
"99",99,"0","#0B0033"
"100",100,"6","#916C80"
"101",101,"7","#3B1F2B"
"102",102,"9","#5F758E"
"103",103,"8","#DB162F"
"104",104,"2","#C3B299"
"105",105,"1","#376996"
"106",106,"4","#C09BD8"
"107",107,"8","#DB162F"
"108",108,"0","#0B0033"
"109",109,"8","#DB162F"
"110",110,"6","#916C80"
"111",111,"5","#48284A"
"112",112,"1","#376996"
"113",113,"3","#815355"
"114",114,"2","#C3B299"
"115",115,"8","#DB162F"
"116",116,"2","#C3B299"
"117",117,"3","#815355"
"118",118,"0","#0B0033"
"119",119,"6","#916C80"
"120",120,"6","#916C80"
"121",121,"4","#C09BD8"
"122",122,"7","#3B1F2B"
"123",123,"0","#0B0033"
"124",124,"9","#5F758E"
"125",125,"3","#815355"
"126",126,"8","#DB162F"
"127",127,"4","#C09BD8"
"128",128,"4","#C09BD8"
"129",129,"6","#916C80"
"130",130,"0","#0B0033"
"131",131,"9","#5F758E"
"132",132,"5","#48284A"
"133",133,"5","#48284A"
"134",134,"0","#0B0033"
"135",135,"5","#48284A"
"136",136,"8","#DB162F"
"137",137,"2","#C3B299"
"138",138,"2","#C3B299"
"139",139,"3","#815355"
"140",140,"1","#376996"
"141",141,"7","#3B1F2B"
"142",142,"2","#C3B299"
"143",143,"5","#48284A"
"144",144,"3","#815355"
"145",145,"5","#48284A"
"146",146,"9","#5F758E"
"147",147,"4","#C09BD8"
"148",148,"0","#0B0033"
"149",149,"8","#DB162F"
"150",150,"1","#376996"
"151",151,"2","#C3B299"
"152",152,"8","#DB162F"
"153",153,"4","#C09BD8"
"154",154,"8","#DB162F"
"155",155,"1","#376996"
"156",156,"1","#376996"
"157",157,"1","#376996"
"158",158,"7","#3B1F2B"
"159",159,"4","#C09BD8"
"160",160,"5","#48284A"
"161",161,"0","#0B0033"
"162",162,"2","#C3B299"
"163",163,"8","#DB162F"
"164",164,"4","#C09BD8"
"165",165,"1","#376996"
"166",166,"0","#0B0033"
"167",167,"2","#C3B299"
"168",168,"7","#3B1F2B"
"169",169,"0","#0B0033"
"170",170,"1","#376996"
"171",171,"9","#5F758E"
"172",172,"3","#815355"
"173",173,"8","#DB162F"
"174",174,"5","#48284A"
"175",175,"2","#C3B299"
"176",176,"1","#376996"
"177",177,"1","#376996"
"178",178,"0","#0B0033"
"179",179,"5","#48284A"
"180",180,"5","#48284A"
"181",181,"5","#48284A"
"182",182,"9","#5F758E"
"183",183,"6","#916C80"
"184",184,"4","#C09BD8"
"185",185,"4","#C09BD8"
"186",186,"6","#916C80"
"187",187,"2","#C3B299"
"188",188,"2","#C3B299"
"189",189,"9","#5F758E"
"190",190,"4","#C09BD8"
"191",191,"8","#DB162F"
"192",192,"9","#5F758E"
"193",193,"5","#48284A"
"194",194,"4","#C09BD8"
"195",195,"9","#5F758E"
"196",196,"3","#815355"
"197",197,"0","#0B0033"
"198",198,"3","#815355"
"199",199,"8","#DB162F"
"200",200,"1","#376996"
"201",201,"9","#5F758E"
"202",202,"6","#916C80"
"203",203,"4","#C09BD8"
"204",204,"4","#C09BD8"
"205",205,"2","#C3B299"
"206",206,"8","#DB162F"
"207",207,"8","#DB162F"
"208",208,"1","#376996"
"209",209,"0","#0B0033"
"210",210,"9","#5F758E"
"211",211,"7","#3B1F2B"
"212",212,"5","#48284A"
"213",213,"6","#916C80"
"214",214,"6","#916C80"
"215",215,"5","#48284A"
"216",216,"9","#5F758E"
"217",217,"3","#815355"
"218",218,"3","#815355"
"219",219,"4","#C09BD8"
"220",220,"4","#C09BD8"
"221",221,"6","#916C80"
"222",222,"1","#376996"
"223",223,"2","#C3B299"
"224",224,"8","#DB162F"
"225",225,"4","#C09BD8"
"226",226,"7","#3B1F2B"
"227",227,"5","#48284A"
"228",228,"6","#916C80"
"229",229,"4","#C09BD8"
"230",230,"8","#DB162F"
"231",231,"2","#C3B299"
"232",232,"3","#815355"
"233",233,"3","#815355"
"234",234,"7","#3B1F2B"
"235",235,"8","#DB162F"
"236",236,"6","#916C80"
"237",237,"7","#3B1F2B"
"238",238,"8","#DB162F"
"239",239,"3","#815355"
"240",240,"1","#376996"
"241",241,"6","#916C80"
"242",242,"5","#48284A"
"243",243,"2","#C3B299"
"244",244,"7","#3B1F2B"
"245",245,"1","#376996"
"246",246,"2","#C3B299"
"247",247,"0","#0B0033"
"248",248,"1","#376996"
"249",249,"9","#5F758E"
"250",250,"0","#0B0033"
"251",251,"9","#5F758E"
"252",252,"1","#376996"
"253",253,"4","#C09BD8"
"254",254,"5","#48284A"
"255",255,"6","#916C80"
"256",256,"4","#C09BD8"
"257",257,"8","#DB162F"
"258",258,"5","#48284A"
"259",259,"6","#916C80"
"260",260,"6","#916C80"
"261",261,"9","#5F758E"
"262",262,"2","#C3B299"
"263",263,"3","#815355"
"264",264,"4","#C09BD8"
"265",265,"6","#916C80"
"266",266,"0","#0B0033"
"267",267,"3","#815355"
"268",268,"4","#C09BD8"
"269",269,"8","#DB162F"
"270",270,"6","#916C80"
"271",271,"1","#376996"
"272",272,"0","#0B0033"
"273",273,"4","#C09BD8"
"274",274,"5","#48284A"
"275",275,"4","#C09BD8"
"276",276,"3","#815355"
"277",277,"2","#C3B299"
"278",278,"6","#916C80"
"279",279,"6","#916C80"
"280",280,"4","#C09BD8"
"281",281,"8","#DB162F"
"282",282,"2","#C3B299"
"283",283,"1","#376996"
"284",284,"3","#815355"
"285",285,"3","#815355"
"286",286,"9","#5F758E"
"287",287,"3","#815355"
"288",288,"6","#916C80"
"289",289,"0","#0B0033"
"290",290,"7","#3B1F2B"
"291",291,"2","#C3B299"
"292",292,"6","#916C80"
"293",293,"0","#0B0033"
"294",294,"2","#C3B299"
"295",295,"4","#C09BD8"
"296",296,"9","#5F758E"
"297",297,"1","#376996"
"298",298,"4","#C09BD8"
"299",299,"1","#376996"
"300",300,"2","#C3B299"
"301",301,"7","#3B1F2B"
"302",302,"3","#815355"
"303",303,"7","#3B1F2B"
"304",304,"2","#C3B299"
"305",305,"4","#C09BD8"
"306",306,"5","#48284A"
"307",307,"8","#DB162F"
"308",308,"7","#3B1F2B"
"309",309,"0","#0B0033"
"310",310,"0","#0B0033"
"311",311,"6","#916C80"
"312",312,"6","#916C80"
"313",313,"0","#0B0033"
"314",314,"6","#916C80"
"315",315,"3","#815355"
"316",316,"1","#376996"
"317",317,"5","#48284A"
"318",318,"5","#48284A"
"319",319,"8","#DB162F"
"320",320,"8","#DB162F"
"321",321,"1","#376996"
"322",322,"7","#3B1F2B"
"323",323,"4","#C09BD8"
"324",324,"8","#DB162F"
"325",325,"8","#DB162F"
"326",326,"1","#376996"
"327",327,"5","#48284A"
"328",328,"2","#C3B299"
"329",329,"0","#0B0033"
"330",330,"9","#5F758E"
"331",331,"2","#C3B299"
"332",332,"0","#0B0033"
"333",333,"9","#5F758E"
"334",334,"6","#916C80"
"335",335,"2","#C3B299"
"336",336,"8","#DB162F"
"337",337,"2","#C3B299"
"338",338,"9","#5F758E"
"339",339,"2","#C3B299"
"340",340,"5","#48284A"
"341",341,"4","#C09BD8"
"342",342,"0","#0B0033"
"343",343,"9","#5F758E"
"344",344,"1","#376996"
"345",345,"7","#3B1F2B"
"346",346,"1","#376996"
"347",347,"5","#48284A"
"348",348,"3","#815355"
"349",349,"6","#916C80"
"350",350,"4","#C09BD8"
"351",351,"3","#815355"
"352",352,"6","#916C80"
"353",353,"7","#3B1F2B"
"354",354,"8","#DB162F"
"355",355,"9","#5F758E"
"356",356,"2","#C3B299"
"357",357,"5","#48284A"
"358",358,"9","#5F758E"
"359",359,"0","#0B0033"
"360",360,"3","#815355"
"361",361,"6","#916C80"
"362",362,"0","#0B0033"
"363",363,"0","#0B0033"
"364",364,"1","#376996"
"365",365,"1","#376996"
"366",366,"3","#815355"
"367",367,"3","#815355"
"368",368,"0","#0B0033"
"369",369,"5","#48284A"
"370",370,"3","#815355"
"371",371,"0","#0B0033"
"372",372,"5","#48284A"
"373",373,"4","#C09BD8"
"374",374,"8","#DB162F"
"375",375,"8","#DB162F"
"376",376,"2","#C3B299"
"377",377,"0","#0B0033"
"378",378,"4","#C09BD8"
"379",379,"6","#916C80"
"380",380,"6","#916C80"
"381",381,"5","#48284A"
"382",382,"2","#C3B299"
"383",383,"1","#376996"
"384",384,"3","#815355"
"385",385,"8","#DB162F"
"386",386,"4","#C09BD8"
"387",387,"1","#376996"
"388",388,"4","#C09BD8"
"389",389,"6","#916C80"
"390",390,"9","#5F758E"
"391",391,"5","#48284A"
"392",392,"1","#376996"
"393",393,"9","#5F758E"
"394",394,"4","#C09BD8"
"395",395,"1","#376996"
"396",396,"5","#48284A"
"397",397,"1","#376996"
"398",398,"1","#376996"
"399",399,"6","#916C80"
"400",400,"0","#0B0033"
"401",401,"9","#5F758E"
"402",402,"4","#C09BD8"
"403",403,"3","#815355"
"404",404,"3","#815355"
"405",405,"0","#0B0033"
"406",406,"5","#48284A"
"407",407,"7","#3B1F2B"
"408",408,"2","#C3B299"
"409",409,"7","#3B1F2B"
"410",410,"0","#0B0033"
"411",411,"3","#815355"
"412",412,"6","#916C80"
"413",413,"5","#48284A"
"414",414,"7","#3B1F2B"
"415",415,"5","#48284A"
"416",416,"9","#5F758E"
"417",417,"5","#48284A"
"418",418,"9","#5F758E"
"419",419,"1","#376996"
"420",420,"9","#5F758E"
"421",421,"5","#48284A"
"422",422,"3","#815355"
"423",423,"0","#0B0033"
"424",424,"9","#5F758E"
"425",425,"2","#C3B299"
"426",426,"1","#376996"
"427",427,"8","#DB162F"
"428",428,"6","#916C80"
"429",429,"1","#376996"
"430",430,"1","#376996"
"431",431,"7","#3B1F2B"
"432",432,"3","#815355"
"433",433,"8","#DB162F"
"434",434,"1","#376996"
"435",435,"9","#5F758E"
"436",436,"3","#815355"
"437",437,"2","#C3B299"
"438",438,"6","#916C80"
"439",439,"1","#376996"
"440",440,"1","#376996"
"441",441,"7","#3B1F2B"
"442",442,"9","#5F758E"
"443",443,"3","#815355"
"444",444,"1","#376996"
"445",445,"0","#0B0033"
"446",446,"5","#48284A"
"447",447,"1","#376996"
"448",448,"1","#376996"
"449",449,"8","#DB162F"
"450",450,"5","#48284A"
"451",451,"4","#C09BD8"
"452",452,"8","#DB162F"
"453",453,"0","#0B0033"
"454",454,"7","#3B1F2B"
"455",455,"4","#C09BD8"
"456",456,"4","#C09BD8"
"457",457,"6","#916C80"
"458",458,"2","#C3B299"
"459",459,"3","#815355"
"460",460,"7","#3B1F2B"
"461",461,"9","#5F758E"
"462",462,"9","#5F758E"
"463",463,"6","#916C80"
"464",464,"2","#C3B299"
"465",465,"7","#3B1F2B"
"466",466,"4","#C09BD8"
"467",467,"9","#5F758E"
"468",468,"5","#48284A"
"469",469,"6","#916C80"
"470",470,"7","#3B1F2B"
"471",471,"3","#815355"
"472",472,"5","#48284A"
"473",473,"1","#376996"
"474",474,"8","#DB162F"
"475",475,"8","#DB162F"
"476",476,"5","#48284A"
"477",477,"7","#3B1F2B"
"478",478,"5","#48284A"
"479",479,"2","#C3B299"
"480",480,"7","#3B1F2B"
"481",481,"2","#C3B299"
"482",482,"4","#C09BD8"
"483",483,"8","#DB162F"
"484",484,"9","#5F758E"
"485",485,"1","#376996"
"486",486,"2","#C3B299"
"487",487,"2","#C3B299"
"488",488,"7","#3B1F2B"
"489",489,"9","#5F758E"
"490",490,"3","#815355"
"491",491,"8","#DB162F"
"492",492,"1","#376996"
"493",493,"8","#DB162F"
"494",494,"3","#815355"
"495",495,"0","#0B0033"
"496",496,"1","#376996"
"497",497,"1","#376996"
"498",498,"9","#5F758E"
"499",499,"4","#C09BD8"
"500",500,"9","#5F758E"
"501",501,"1","#376996"
"502",502,"2","#C3B299"
"503",503,"9","#5F758E"
"504",504,"8","#DB162F"
"505",505,"3","#815355"
"506",506,"3","#815355"
"507",507,"6","#916C80"
"508",508,"7","#3B1F2B"
"509",509,"3","#815355"
"510",510,"3","#815355"
"511",511,"6","#916C80"
"512",512,"2","#C3B299"
"513",513,"4","#C09BD8"
"514",514,"4","#C09BD8"
"515",515,"0","#0B0033"
"516",516,"6","#916C80"
"517",517,"5","#48284A"
"518",518,"6","#916C80"
"519",519,"6","#916C80"
"520",520,"4","#C09BD8"
"521",521,"3","#815355"
"522",522,"0","#0B0033"
"523",523,"8","#DB162F"
"524",524,"6","#916C80"
"525",525,"0","#0B0033"
"526",526,"2","#C3B299"
"527",527,"1","#376996"
"528",528,"3","#815355"
"529",529,"9","#5F758E"
"530",530,"4","#C09BD8"
"531",531,"9","#5F758E"
"532",532,"4","#C09BD8"
"533",533,"6","#916C80"
"534",534,"3","#815355"
"535",535,"9","#5F758E"
"536",536,"5","#48284A"
"537",537,"2","#C3B299"
"538",538,"2","#C3B299"
"539",539,"4","#C09BD8"
"540",540,"7","#3B1F2B"
"541",541,"3","#815355"
"542",542,"7","#3B1F2B"
"543",543,"1","#376996"
"544",544,"9","#5F758E"
"545",545,"0","#0B0033"
"546",546,"7","#3B1F2B"
"547",547,"0","#0B0033"
"548",548,"2","#C3B299"
"549",549,"1","#376996"
"550",550,"7","#3B1F2B"
"551",551,"9","#5F758E"
"552",552,"8","#DB162F"
"553",553,"6","#916C80"
"554",554,"0","#0B0033"
"555",555,"9","#5F758E"
"556",556,"4","#C09BD8"
"557",557,"3","#815355"
"558",558,"7","#3B1F2B"
"559",559,"0","#0B0033"
"560",560,"2","#C3B299"
"561",561,"7","#3B1F2B"
"562",562,"7","#3B1F2B"
"563",563,"0","#0B0033"
"564",564,"5","#48284A"
"565",565,"3","#815355"
"566",566,"9","#5F758E"
"567",567,"2","#C3B299"
"568",568,"1","#376996"
"569",569,"7","#3B1F2B"
"570",570,"1","#376996"
"571",571,"7","#3B1F2B"
"572",572,"6","#916C80"
"573",573,"2","#C3B299"
"574",574,"9","#5F758E"
"575",575,"3","#815355"
"576",576,"1","#376996"
"577",577,"7","#3B1F2B"
"578",578,"6","#916C80"
"579",579,"7","#3B1F2B"
"580",580,"5","#48284A"
"581",581,"2","#C3B299"
"582",582,"3","#815355"
"583",583,"8","#DB162F"
"584",584,"4","#C09BD8"
"585",585,"6","#916C80"
"586",586,"7","#3B1F2B"
"587",587,"4","#C09BD8"
"588",588,"8","#DB162F"
"589",589,"1","#376996"
"590",590,"8","#DB162F"
"591",591,"4","#C09BD8"
"592",592,"6","#916C80"
"593",593,"7","#3B1F2B"
"594",594,"6","#916C80"
"595",595,"6","#916C80"
"596",596,"9","#5F758E"
"597",597,"4","#C09BD8"
"598",598,"0","#0B0033"
"599",599,"5","#48284A"
"600",600,"1","#376996"
"601",601,"3","#815355"
"602",602,"2","#C3B299"
"603",603,"0","#0B0033"
"604",604,"0","#0B0033"
"605",605,"0","#0B0033"
"606",606,"5","#48284A"
"607",607,"6","#916C80"
"608",608,"8","#DB162F"
"609",609,"1","#376996"
"610",610,"2","#C3B299"
"611",611,"7","#3B1F2B"
"612",612,"1","#376996"
"613",613,"4","#C09BD8"
"614",614,"5","#48284A"
"615",615,"2","#C3B299"
"616",616,"6","#916C80"
"617",617,"3","#815355"
"618",618,"5","#48284A"
"619",619,"6","#916C80"
"620",620,"0","#0B0033"
"621",621,"8","#DB162F"
"622",622,"2","#C3B299"
"623",623,"7","#3B1F2B"
"624",624,"7","#3B1F2B"
"625",625,"8","#DB162F"
"626",626,"5","#48284A"
"627",627,"7","#3B1F2B"
"628",628,"7","#3B1F2B"
"629",629,"1","#376996"
"630",630,"3","#815355"
"631",631,"4","#C09BD8"
"632",632,"2","#C3B299"
"633",633,"7","#3B1F2B"
"634",634,"5","#48284A"
"635",635,"7","#3B1F2B"
"636",636,"7","#3B1F2B"
"637",637,"8","#DB162F"
"638",638,"9","#5F758E"
"639",639,"6","#916C80"
"640",640,"0","#0B0033"
"641",641,"9","#5F758E"
"642",642,"1","#376996"
"643",643,"7","#3B1F2B"
"644",644,"3","#815355"
"645",645,"6","#916C80"
"646",646,"3","#815355"
"647",647,"7","#3B1F2B"
"648",648,"1","#376996"
"649",649,"7","#3B1F2B"
"650",650,"8","#DB162F"
"651",651,"7","#3B1F2B"
"652",652,"2","#C3B299"
"653",653,"1","#376996"
"654",654,"4","#C09BD8"
"655",655,"6","#916C80"
"656",656,"8","#DB162F"
"657",657,"4","#C09BD8"
"658",658,"4","#C09BD8"
"659",659,"0","#0B0033"
"660",660,"9","#5F758E"
"661",661,"0","#0B0033"
"662",662,"1","#376996"
"663",663,"2","#C3B299"
"664",664,"2","#C3B299"
"665",665,"4","#C09BD8"
"666",666,"9","#5F758E"
"667",667,"5","#48284A"
"668",668,"3","#815355"
"669",669,"4","#C09BD8"
"670",670,"3","#815355"
"671",671,"0","#0B0033"
"672",672,"1","#376996"
"673",673,"4","#C09BD8"
"674",674,"6","#916C80"
"675",675,"5","#48284A"
"676",676,"4","#C09BD8"
"677",677,"9","#5F758E"
"678",678,"5","#48284A"
"679",679,"8","#DB162F"
"680",680,"5","#48284A"
"681",681,"3","#815355"
"682",682,"7","#3B1F2B"
"683",683,"1","#376996"
"684",684,"0","#0B0033"
"685",685,"5","#48284A"
"686",686,"0","#0B0033"
"687",687,"7","#3B1F2B"
"688",688,"9","#5F758E"
"689",689,"2","#C3B299"
"690",690,"2","#C3B299"
"691",691,"7","#3B1F2B"
"692",692,"9","#5F758E"
"693",693,"6","#916C80"
"694",694,"8","#DB162F"
"695",695,"9","#5F758E"
"696",696,"2","#C3B299"
"697",697,"5","#48284A"
"698",698,"8","#DB162F"
"699",699,"9","#5F758E"
"700",700,"2","#C3B299"
"701",701,"3","#815355"
"702",702,"5","#48284A"
"703",703,"4","#C09BD8"
"704",704,"2","#C3B299"
"705",705,"0","#0B0033"
"706",706,"1","#376996"
"707",707,"9","#5F758E"
"708",708,"9","#5F758E"
"709",709,"5","#48284A"
"710",710,"6","#916C80"
"711",711,"1","#376996"
"712",712,"1","#376996"
"713",713,"2","#C3B299"
"714",714,"1","#376996"
"715",715,"2","#C3B299"
"716",716,"9","#5F758E"
"717",717,"0","#0B0033"
"718",718,"2","#C3B299"
"719",719,"1","#376996"
"720",720,"9","#5F758E"
"721",721,"6","#916C80"
"722",722,"0","#0B0033"
"723",723,"8","#DB162F"
"724",724,"6","#916C80"
"725",725,"4","#C09BD8"
"726",726,"0","#0B0033"
"727",727,"3","#815355"
"728",728,"4","#C09BD8"
"729",729,"4","#C09BD8"
"730",730,"1","#376996"
"731",731,"8","#DB162F"
"732",732,"1","#376996"
"733",733,"5","#48284A"
"734",734,"9","#5F758E"
"735",735,"8","#DB162F"
"736",736,"1","#376996"
"737",737,"3","#815355"
"738",738,"6","#916C80"
"739",739,"2","#C3B299"
"740",740,"9","#5F758E"
"741",741,"7","#3B1F2B"
"742",742,"7","#3B1F2B"
"743",743,"4","#C09BD8"
"744",744,"7","#3B1F2B"
"745",745,"7","#3B1F2B"
"746",746,"1","#376996"
"747",747,"3","#815355"
"748",748,"0","#0B0033"
"749",749,"9","#5F758E"
"750",750,"9","#5F758E"
"751",751,"6","#916C80"
"752",752,"0","#0B0033"
"753",753,"5","#48284A"
"754",754,"1","#376996"
"755",755,"8","#DB162F"
"756",756,"7","#3B1F2B"
"757",757,"0","#0B0033"
"758",758,"7","#3B1F2B"
"759",759,"2","#C3B299"
"760",760,"1","#376996"
"761",761,"1","#376996"
"762",762,"3","#815355"
"763",763,"4","#C09BD8"
"764",764,"9","#5F758E"
"765",765,"9","#5F758E"
"766",766,"9","#5F758E"
"767",767,"9","#5F758E"
"768",768,"9","#5F758E"
"769",769,"9","#5F758E"
"770",770,"8","#DB162F"
"771",771,"3","#815355"
"772",772,"7","#3B1F2B"
"773",773,"2","#C3B299"
"774",774,"9","#5F758E"
"775",775,"7","#3B1F2B"
"776",776,"8","#DB162F"
"777",777,"0","#0B0033"
"778",778,"4","#C09BD8"
"779",779,"9","#5F758E"
"780",780,"9","#5F758E"
"781",781,"5","#48284A"
"782",782,"1","#376996"
"783",783,"0","#0B0033"
"784",784,"5","#48284A"
"785",785,"9","#5F758E"
"786",786,"7","#3B1F2B"
"787",787,"3","#815355"
"788",788,"1","#376996"
"789",789,"7","#3B1F2B"
"790",790,"3","#815355"
"791",791,"2","#C3B299"
"792",792,"8","#DB162F"
"793",793,"1","#376996"
"794",794,"6","#916C80"
"795",795,"0","#0B0033"
"796",796,"9","#5F758E"
"797",797,"6","#916C80"
"798",798,"3","#815355"
"799",799,"1","#376996"
"800",800,"8","#DB162F"
"801",801,"5","#48284A"
"802",802,"9","#5F758E"
"803",803,"5","#48284A"
"804",804,"0","#0B0033"
"805",805,"2","#C3B299"
"806",806,"4","#C09BD8"
"807",807,"4","#C09BD8"
"808",808,"5","#48284A"
"809",809,"9","#5F758E"
"810",810,"4","#C09BD8"
"811",811,"5","#48284A"
"812",812,"5","#48284A"
"813",813,"3","#815355"
"814",814,"4","#C09BD8"
"815",815,"6","#916C80"
"816",816,"9","#5F758E"
"817",817,"0","#0B0033"
"818",818,"8","#DB162F"
"819",819,"3","#815355"
"820",820,"0","#0B0033"
"821",821,"2","#C3B299"
"822",822,"6","#916C80"
"823",823,"4","#C09BD8"
"824",824,"2","#C3B299"
"825",825,"5","#48284A"
"826",826,"2","#C3B299"
"827",827,"2","#C3B299"
"828",828,"3","#815355"
"829",829,"0","#0B0033"
"830",830,"8","#DB162F"
"831",831,"2","#C3B299"
"832",832,"5","#48284A"
"833",833,"3","#815355"
"834",834,"3","#815355"
"835",835,"4","#C09BD8"
"836",836,"4","#C09BD8"
"837",837,"6","#916C80"
"838",838,"8","#DB162F"
"839",839,"5","#48284A"
"840",840,"0","#0B0033"
"841",841,"3","#815355"
"842",842,"5","#48284A"
"843",843,"2","#C3B299"
"844",844,"6","#916C80"
"845",845,"1","#376996"
"846",846,"9","#5F758E"
"847",847,"3","#815355"
"848",848,"1","#376996"
"849",849,"1","#376996"
"850",850,"8","#DB162F"
"851",851,"8","#DB162F"
"852",852,"1","#376996"
"853",853,"7","#3B1F2B"
"854",854,"1","#376996"
"855",855,"0","#0B0033"
"856",856,"1","#376996"
"857",857,"0","#0B0033"
"858",858,"0","#0B0033"
"859",859,"0","#0B0033"
"860",860,"3","#815355"
"861",861,"1","#376996"
"862",862,"3","#815355"
"863",863,"7","#3B1F2B"
"864",864,"8","#DB162F"
"865",865,"3","#815355"
"866",866,"8","#DB162F"
"867",867,"7","#3B1F2B"
"868",868,"5","#48284A"
"869",869,"2","#C3B299"
"870",870,"8","#DB162F"
"871",871,"8","#DB162F"
"872",872,"6","#916C80"
"873",873,"5","#48284A"
"874",874,"8","#DB162F"
"875",875,"7","#3B1F2B"
"876",876,"5","#48284A"
"877",877,"3","#815355"
"878",878,"3","#815355"
"879",879,"2","#C3B299"
"880",880,"0","#0B0033"
"881",881,"8","#DB162F"
"882",882,"3","#815355"
"883",883,"8","#DB162F"
"884",884,"1","#376996"
"885",885,"4","#C09BD8"
"886",886,"2","#C3B299"
"887",887,"0","#0B0033"
"888",888,"6","#916C80"
"889",889,"1","#376996"
"890",890,"7","#3B1F2B"
"891",891,"1","#376996"
"892",892,"7","#3B1F2B"
"893",893,"7","#3B1F2B"
"894",894,"6","#916C80"
"895",895,"6","#916C80"
"896",896,"9","#5F758E"
"897",897,"1","#376996"
"898",898,"4","#C09BD8"
"899",899,"7","#3B1F2B"
"900",900,"3","#815355"
"901",901,"0","#0B0033"
"902",902,"3","#815355"
"903",903,"5","#48284A"
"904",904,"9","#5F758E"
"905",905,"8","#DB162F"
"906",906,"2","#C3B299"
"907",907,"5","#48284A"
"908",908,"3","#815355"
"909",909,"4","#C09BD8"
"910",910,"9","#5F758E"
"911",911,"0","#0B0033"
"912",912,"4","#C09BD8"
"913",913,"2","#C3B299"
"914",914,"8","#DB162F"
"915",915,"7","#3B1F2B"
"916",916,"5","#48284A"
"917",917,"5","#48284A"
"918",918,"4","#C09BD8"
"919",919,"6","#916C80"
"920",920,"8","#DB162F"
"921",921,"7","#3B1F2B"
"922",922,"3","#815355"
"923",923,"1","#376996"
"924",924,"1","#376996"
"925",925,"5","#48284A"
"926",926,"9","#5F758E"
"927",927,"5","#48284A"
"928",928,"6","#916C80"
"929",929,"2","#C3B299"
"930",930,"8","#DB162F"
"931",931,"6","#916C80"
"932",932,"3","#815355"
"933",933,"8","#DB162F"
"934",934,"8","#DB162F"
"935",935,"2","#C3B299"
"936",936,"3","#815355"
"937",937,"5","#48284A"
"938",938,"3","#815355"
"939",939,"7","#3B1F2B"
"940",940,"8","#DB162F"
"941",941,"7","#3B1F2B"
"942",942,"5","#48284A"
"943",943,"9","#5F758E"
"944",944,"3","#815355"
"945",945,"7","#3B1F2B"
"946",946,"5","#48284A"
"947",947,"1","#376996"
"948",948,"9","#5F758E"
"949",949,"5","#48284A"
"950",950,"7","#3B1F2B"
"951",951,"7","#3B1F2B"
"952",952,"8","#DB162F"
"953",953,"1","#376996"
"954",954,"8","#DB162F"
